Id,Building,Longitude,Latitude
1,RW 002,127.38049529089578,0.7975059650917954
2,RT 002/RW 002,127.38289453208115,0.789177495650461
3,RT 001/RW 002,127.38348260366124,0.7885559551895122
4,RW 001,127.38441936239138,0.7894705014371842
5,RT 001/RW 001,127.38514557457106,0.7890993886439348
6,RT 002/RW 001,127.38443210701628,0.7895730888533568
7,RW 003,127.38103710458816,0.7895412368134929
8,RT 001/RW 003,127.38233160334256,0.7894121664521089
9,RT 002/RW 003,127.38146290274594,0.7885827753534593
10,RW 004,127.38045271501802,0.7884480090753686
11,RT 001/RW 004,127.38133013435689,0.7883581601715623
12,RT 002/RW 004,127.3809522804595,0.7880701886882631
